49140,23681
48711,24282
44546,23780
46371,23748
47920,23426
47894,23568
40604,21800
46107,24873
49669,25391
36926,19888
50784,23903
44459,25476
45346,23252
41010,23891
49131,25577
44189,22243
42341,23805
46174,24132
49964,23718
49434,23378
45708,24712
51748,27443
43893,24206
44840,22828
46684,24940
39520,23457
51494,23053
47671,23397
48255,20091
45898,25158
45450,22588
41220,22037
46185,20692
42646,23786
40477,22722
50866,23572
42010,23458
49300,21783
47036,24109
48982,23190
44004,23753
51450,22083
44312,24417
51147,23347
56641,24995
51154,22033
40096,21037
51072,24692
42775,23542
50852,23859
51015,22078
47969,24825
50178,23354
48514,24424
43653,20970
42501,21241
43920,23767
48248,23183
42743,22458
48586,23927
46909,21246
42612,20516
42929,23274
41674,24128
44431,19929
42610,20391
45912,22100
49359,26159
48882,23237
50880,25365
46061,23335
40925,20865
39327,22603
51944,22831
49013,24585
47027,22816
46597,23848
46719,24571
50191,24373
49880,25430
44174,23699
45241,26773
41286,22548
46753,22034
47047,21006
48599,23234
44578,26487
42659,21357
45059,23687
47731,22451
43095,23075
38180,21055
49058,24629
48884,23642
46002,23723
43820,19890
51276,25103
43670,22721
48982,22918
42056,22829
