402249,223662
367917,245610
380792,225934
350288,206325
390988,231066
367079,244350
357292,229301
404372,211789
380773,226154
355858,212766
386571,201208
400375,221350
329976,206421
383012,226298
347570,202632
367313,195406
364432,225963
333591,225735
406557,222165
380638,227822
390525,225572
327232,212818
329603,187345
365300,226635
369205,209340
382842,225446
351555,226566
370699,222974
361591,208607
422671,241456
365347,224010
406728,229359
386272,234462
353427,228901
353999,216617
373409,227170
345744,205306
394200,240293
356538,201829
347887,221475
373986,232253
394814,241189
366683,232521
360961,198298
375494,216758
368322,221115
392558,238802
363085,227417
382546,223929
391765,234797
334328,206702
377675,226976
393230,222996
378024,223311
331503,198719
358034,211615
381091,228361
365987,208512
364064,221613
