109579,60836
93425,50539
97757,54633
95344,53612
113145,65449
107603,60069
101864,61821
99071,52738
105822,58063
103674,58331
102241,56966
101001,53748
92638,55750
100230,55768
112226,63357
89751,47831
104562,59457
107499,60557
114536,59601
87760,53040
109762,59187
90820,56789
116291,62996
98071,55889
107762,54261
88546,55760
93164,54349
104885,53271
112024,59174
117905,61854
108909,62287
96284,56260
90271,51714
106625,54539
91759,49911
92352,51019
96802,57609
110978,64247
108545,57870
103723,56585
92404,48230
115803,67159
111750,63665
113697,57610
113375,63331
88776,54341
98745,59670
97902,56846
123209,71854
111726,61228
98669,52421
104400,59742
113219,62733
93417,55871
112324,61800
112617,59606
97672,56481
96542,60877
113122,64854
103128,58254
95560,51824
100863,57125
102805,56683
113868,64608
110106,59623
116196,66637
106424,66725
107411,59974
120970,65437
103009,55153
99998,55203
97941,59380
100897,59755
107156,56455
110876,59973
98728,60519
104228,59396
101436,59080
89653,54549
100609,53980
108252,64264
115602,63367
96267,58084
104393,60477
112546,68231
109113,65660
108560,58847
104213,57909
111593,58990
102425,60815
103504,61960
99183,61289
111026,62889
117877,66352
107939,59660
98742,56840
102903,53379
102098,60189
110750,61194
104536,55556
